"deep","surf","stra","gender","age","attitude","points"
4.16666666666667,3.09090909090909,3.25,1,21,28,18
4.83333333333333,2.36363636363636,4.125,1,21,37,28
3.75,2.45454545454545,3.375,1,20,26,21
3.66666666666667,3.54545454545455,2.75,1,21,24,19
3.83333333333333,2.18181818181818,4.125,1,25,30,27
4.66666666666667,2.81818181818182,3,1,27,29,0
4.08333333333333,4,4.125,1,20,32,0
2.25,4.27272727272727,3.25,2,21,28,24
4.58333333333333,2.72727272727273,2.875,1,24,29,21
3.75,3.09090909090909,2.875,1,20,24,20
4.16666666666667,2.72727272727273,2.375,2,21,31,28
3.66666666666667,2.27272727272727,3.875,1,20,19,12
3.83333333333333,2.72727272727273,2.125,1,20,20,21
3.33333333333333,2.36363636363636,4,1,18,38,28
3.83333333333333,2.72727272727273,3.25,1,21,34,31
3.58333333333333,3.27272727272727,2.625,1,19,37,18
4.5,3.45454545454545,2.75,1,21,29,25
3.58333333333333,2.90909090909091,4,1,20,23,19
4.75,2.09090909090909,3,2,21,41,21
3.5,2.90909090909091,3.375,1,20,27,16
4.08333333333333,3.72727272727273,3.875,1,21,35,7
3.91666666666667,2.63636363636364,3.25,1,20,34,21
4.91666666666667,3.36363636363636,3.375,1,18,32,17
3.83333333333333,3.09090909090909,4.125,2,22,33,22
3.91666666666667,3,3.5,1,22,33,18
2.91666666666667,3.18181818181818,2,2,24,35,25
4.5,2.63636363636364,3.625,1,19,32,24
3.41666666666667,3.90909090909091,3.375,1,20,31,23
3.75,2.90909090909091,2.25,1,21,24,0
4.75,2.36363636363636,2.125,1,20,28,23
4.08333333333333,3.36363636363636,4.625,1,17,17,26
2.91666666666667,3.90909090909091,2.5,2,19,19,12
3.83333333333333,1.81818181818182,2,1,23,32,0
3.33333333333333,3,2.875,1,20,35,32
4.08333333333333,2.72727272727273,2.75,1,20,24,22
4.41666666666667,2.90909090909091,3.375,1,25,38,0
4.58333333333333,3.45454545454545,4,1,20,21,20
4.5,3,2.375,1,20,29,21
3.5,3.18181818181818,3.875,1,19,19,23
4.41666666666667,2.90909090909091,3.375,1,19,20,20
3.25,3.36363636363636,1.75,1,22,42,28
4.08333333333333,2.81818181818182,3,2,35,41,31
3.5,3.36363636363636,2.625,1,18,37,18
3.58333333333333,3.09090909090909,2.625,1,19,36,30
4.5,2.63636363636364,3.375,2,21,18,19
